Exporter,Importer,IMP,GDPexp,GDPimp,Dist
China,Japan,181720741.2,10354831729,4601461207,2981.789235
United States,Japan,74353975.55,17419000000,4601461207,10053.95926
Germany,Japan,24179294.18,3868291232,4601461207,9158.637761
France,Japan,11929703.28,2829192039,4601461207,9912.950361
Netherlands,Japan,4315583.3,879319321,4601461207,9166.563488
Canada,Japan,11503160.82,1785386650,4601461207,8316.004036
Italy,Japan,8911025.94,2141161325,4601461207,9660.995153
Japan,China,162841942.6,4601461207,10354831729,2981.789235
United States,China,159841403.1,17419000000,10354831729,11610.7667
Germany,China,104991831.6,3868291232,10354831729,7460.262099
France,China,26650733.23,2829192039,10354831729,8188.574892
Netherlands,China,9336625.65,879319321,10354831729,7577.718243
Canada,China,25188680.5,1785386650,10354831729,9316.719875
Italy,China,19183248.46,2141161325,10354831729,7629.710436
Japan,United States,134003646.4,4601461207,17419000000,10053.95926
China,United States,466695794.1,10354831729,17419000000,11610.7667
Germany,United States,123248179.8,3868291232,17419000000,7805.579636
France,United States,46974295.16,2829192039,17419000000,7699.618565
Netherlands,United States,20797559.85,879319321,17419000000,7526.036898
Canada,United States,346794030.2,1785386650,17419000000,2450.677445
Italy,United States,42113829.61,2141161325,17419000000,8599.081396
Japan,Germany,26549779.06,4601461207,3868291232,9158.637761
China,Germany,107203798.3,10354831729,3868291232,7460.262099
United States,Germany,66739202.81,17419000000,3868291232,7805.579636
France,Germany,89661236.33,2829192039,3868291232,758.7727697
Netherlands,Germany,117091579.1,879319321,3868291232,279.6495976
Canada,Germany,4812724.07,1785386650,3868291232,5952.067581
Italy,Germany,64516090.51,2141161325,3868291232,953.341206
Japan,France,10361846.52,4601461207,2829192039,9912.950361
China,France,56416479.65,10354831729,2829192039,8188.574892
United States,France,41858288.4,17419000000,2829192039,7699.618565
Germany,France,112991127.4,3868291232,2829192039,758.7727697
Netherlands,France,28462992.4,879319321,2829192039,772.4603404
Canada,France,3960848.78,1785386650,2829192039,6079.184765
Italy,France,48083241.04,2141161325,2829192039,930.8128825
Japan,Netherlands,11089855.52,4601461207,879319321,9166.563488
China,Netherlands,47950982.41,10354831729,879319321,7577.718243
United States,Netherlands,35947072.09,17419000000,879319321,7526.036898
Germany,Netherlands,83043593.93,3868291232,879319321,279.6495976
France,Netherlands,22558941.8,2829192039,879319321,772.4603404
Canada,Netherlands,1770956.94,1785386650,879319321,5682.114545
Italy,Netherlands,10640775.12,2141161325,879319321,1197.855007
Japan,Canada,12013331.49,4601461207,1785386650,8316.004036
China,Canada,53006331.52,10354831729,1785386650,9316.719875
United States,Canada,251030537.9,17419000000,1785386650,2450.677445
Germany,Canada,14435524.24,3868291232,1785386650,5952.067581
France,Canada,5349288.52,2829192039,1785386650,6079.184765
Netherlands,Canada,3321851.91,879319321,1785386650,5682.114545
Italy,Canada,5797526.82,2141161325,1785386650,6863.221594
Japan,Italy,3592468.74,4601461207,2141161325,9660.995153
China,Italy,33277791.41,10354831729,2141161325,7629.710436
United States,Italy,16596595.37,17419000000,2141161325,8599.081396
Germany,Italy,72541468.68,3868291232,2141161325,953.341206
France,Italy,40703758.79,2829192039,2141161325,930.8128825
Netherlands,Italy,26077698.97,879319321,2141161325,1197.855007
Canada,Italy,3284129.98,1785386650,2141161325,6863.221594
